"date","Celebrities & Entertainment News","Entertainment Industry","Live Sporting Events","Ticket Sales","Web Portals","CAD & CAM","Automotive Industry","Bicycles & Accessories","Boats & Watercraft","Campers & RVs","Classic Vehicles","Commercial Vehicles","Custom & Performance Vehicles","Hybrid & Alternative Vehicles","Microcars & City Cars","Motorcycles","Off-Road Vehicles","Personal Aircraft","Scooters & Mopeds","Trucks & SUVs","Vehicle Brands","Vehicle Codes & Driving Laws","Vehicle Licensing & Registration","Vehicle Maintenance","Vehicle Parts & Accessories","Vehicle Shopping","Vehicle Shows","Beauty Pageants","Body Art","Cosmetic Procedures","Cosmetology & Beauty Professionals","Face & Body Care","Fashion & Style","Fitness","Hair Care","Spas & Beauty Services","Weight Loss","Advertising & Marketing","Aerospace & Defense","Agriculture & Forestry","Business Education","Business Finance","Business News","Business Operations","Business Services","Photo & Video Services","Chemicals Industry","Construction & Maintenance","HVAC & Climate Control","Energy & Utilities","Enterprise Technology","Hospitality Industry","Grocery & Food Retailers","Industrial Materials & Equipment","Manufacturing","Metals & Mining","Pharmaceuticals & Biotech","Printing & Publishing","Journalism & News Industry","Professional & Trade Associations","Retail Trade","Small Business","Textiles & Nonwovens","Transportation & Logistics","Computer Hardware","Computer Security","Consumer Electronics","Electronics & Electrical","Networking","Programming","Software","Web Apps & Online Tools","Technical Support","Technology News","Accounting & Auditing","Banking","Credit & Lending","Currencies & Foreign Exchange","Financial Planning","Grants & Financial Assistance","Insurance","Investing","Retirement & Pension","Alcoholic Beverages","Candy & Sweets","Cooking & Recipes","Culinary Training","Non-Alcoholic Beverages","Restaurants","Aging & Geriatrics","Alternative & Natural Medicine","Health Conditions","Health Education & Medical Training","Health Foundations & Medical Research","Health News","Medical Devices & Equipment","Medical Facilities & Services","Medical Literature & Resources","Men's Health","Mental Health","Nursing","Nutrition","Oral & Dental Care","Pediatrics","Pharmacy","Public Health","Reproductive Health","Substance Abuse","Vision Care","Women's Health","Antiques & Collectibles","Gifts & Special Event Items","Water Sports","Bed & Bath","Domestic Services","Gardening & Landscaping","Home Appliances","Home Furnishings","Home Improvement","Home Storage & Shelving","Homemaking & Interior Decor","Kitchen & Dining","Laundry","Nursery & Playroom","Pest Control","Swimming Pools & Spas","Yard & Patio","Communications Equipment","Email & Messaging","Mobile & Wireless","Search Engines","Service Providers","Teleconferencing","Web Services","Education","Jobs","Government","Legal","Military","Public Safety","Social Services","Broadcast & Network News","Gossip & Tabloid News","Local News","Newspapers","Politics","Sports News","Weather","World News","Apartments & Residential Rentals","Commercial & Investment Real Estate","Property Development","Property Inspections & Appraisals","Property Management","Real Estate Agencies","Real Estate Listings","Timeshares & Vacation Properties","Apparel","Auctions","Classifieds","Consumer Resources","Entertainment Media","Luxury Goods","Mass Merchants & Department Stores","Shopping Portals & Search Engines","Sporting Goods","Swap Meets & Outdoor Markets","Tobacco Products","Toys","Wholesalers & Liquidators","College Sports","Combat Sports","Extreme Sports","Fantasy Sports","Individual Sports","Motor Sports","Sports Coaching & Training","Team Sports","Winter Sports","World Sports Competitions","Air Travel","Bus & Rail","Car Rental & Taxi Services","Carpooling & Ridesharing","Cruises & Charters","Hotels & Accommodations","Luggage & Travel Accessories","Specialty Travel","Tourist Destinations","Travel Agencies & Services","Travel Guides & Travelogues"
2004-11-01,56,73,44,80,21,90,73,47,56,56,68,82,75,42,64,54,66,80,69,83,96,84,77,96,100,80,39,78,77,78,84,83,82,75,59,84,64,73,47,88,82,85,64,79,84,75,85,90,78,84,72,100,72,92,85,89,66,83,77,78,81,72,85,85,87,75,91,83,86,94,82,96,0,32,62,73,88,79,81,72,97,79,98,47,81,58,62,87,70,83,74,45,70,87,70,89,86,87,78,92,77,73,65,91,54,91,84,68,86,77,78,67,55,80,84,37,81,87,91,60,76,87,82,50,47,61,30,78,71,90,64,85,68,91,79,75,91,85,78,87,77,61,73,82,84,25,38,20,38,65,87,81,85,85,72,78,46,95,79,25,87,89,74,86,95,53,65,70,78,75,83,78,62,40,51,47,77,39,46,5,71,76,68,72,48,71,75,66,67,56,50
2004-12-01,61,70,46,80,24,74,63,42,51,46,64,69,86,40,68,47,61,71,56,80,84,74,68,84,79,71,24,85,85,72,72,88,78,67,58,82,57,76,43,75,61,70,54,69,74,77,69,75,78,76,67,90,71,81,74,74,52,74,71,65,70,64,71,81,85,74,89,75,77,81,81,91,0,31,54,70,80,71,76,60,67,69,84,53,78,66,71,84,77,68,68,45,63,66,61,78,77,71,69,75,71,65,60,80,49,71,98,60,79,72,79,100,47,72,77,30,81,72,76,50,62,94,66,44,49,61,27,75,74,99,57,82,66,89,65,59,75,75,67,76,69,44,66,71,71,15,40,25,33,59,67,70,74,83,61,69,48,94,80,20,91,99,100,93,100,54,60,71,88,70,71,75,56,36,47,52,61,35,63,5,64,77,63,85,51,63,91,66,67,55,48
2005-01-01,70,82,50,64,23,84,80,47,67,69,71,82,88,41,70,66,79,96,67,89,93,83,78,84,84,88,27,86,77,78,91,79,100,89,59,81,74,73,57,87,82,75,65,84,85,73,83,89,73,80,72,88,59,92,85,84,64,90,84,88,89,78,83,89,87,77,89,77,81,81,86,85,0,41,85,74,91,75,73,75,69,68,66,47,64,53,67,79,71,85,75,45,77,80,72,87,88,79,75,85,85,90,65,89,57,85,89,65,82,78,76,58,51,87,85,37,95,86,89,68,64,84,75,61,47,71,33,75,77,94,55,84,73,89,80,80,84,83,82,89,89,42,70,85,83,16,40,28,31,76,84,89,84,96,78,86,81,98,79,24,90,88,79,73,78,57,30,68,51,79,83,76,60,35,59,65,85,37,76,6,84,70,75,63,71,84,83,88,82,72,63
2005-02-01,67,85,50,72,26,91,71,48,59,70,70,84,88,43,70,62,69,77,65,85,92,83,80,84,84,85,29,72,76,79,93,81,77,73,61,73,68,74,52,82,77,79,67,81,87,67,86,94,74,78,76,88,61,92,91,93,67,87,71,77,88,74,76,87,78,71,78,82,79,84,79,82,91,43,81,76,91,70,79,73,66,68,67,48,69,50,72,77,68,92,81,48,70,80,65,90,88,78,80,90,82,86,63,93,56,85,87,64,91,73,73,78,54,77,89,39,76,87,93,47,65,78,78,65,43,65,37,70,78,88,63,82,69,94,79,79,84,87,77,87,83,40,67,86,85,17,42,29,34,73,84,94,92,92,76,77,73,87,78,24,86,80,75,69,72,58,28,68,52,74,85,80,59,37,52,56,76,41,69,6,80,73,77,70,60,77,83,80,74,62,61
2005-03-01,60,69,53,58,24,73,70,64,54,67,69,78,83,41,79,78,71,77,70,82,86,73,78,90,92,83,29,71,69,73,72,73,73,67,54,73,62,65,40,83,65,66,60,71,76,62,84,83,63,75,63,87,70,94,75,80,58,80,69,76,80,69,70,77,68,64,73,71,71,75,70,72,0,30,64,69,83,68,67,67,60,57,56,43,68,46,60,72,63,71,63,41,65,68,60,81,74,64,63,74,74,70,59,68,46,72,75,55,77,62,67,58,48,66,85,54,67,66,88,44,55,69,66,55,45,59,41,67,71,81,54,72,62,77,68,65,72,74,79,74,70,34,60,73,75,15,39,27,24,59,76,79,73,88,69,71,66,85,74,25,76,82,67,64,66,72,28,58,50,74,78,73,60,31,57,69,73,40,41,5,71,65,76,69,56,75,73,74,73,59,51
2005-04-01,64,70,57,57,27,80,77,83,69,72,78,84,83,47,88,92,77,80,96,82,89,83,84,97,96,86,20,67,74,76,82,79,68,68,58,71,66,71,42,86,76,74,58,75,75,64,90,86,58,76,65,85,58,91,80,85,61,81,69,74,87,64,69,84,60,58,73,75,72,75,68,73,0,24,58,65,86,66,77,64,63,58,54,46,64,45,66,76,64,79,74,46,70,75,69,84,83,70,68,79,79,80,61,75,50,81,80,58,87,75,65,61,58,71,90,66,65,66,85,44,57,72,82,50,54,55,60,68,73,77,54,72,59,78,74,71,74,77,76,82,72,40,59,88,85,16,40,24,34,66,81,82,77,78,69,72,60,87,73,24,75,75,64,69,62,86,35,54,46,66,88,79,59,30,72,71,71,42,22,5,74,70,77,69,52,76,73,66,70,55,61
2005-05-01,67,68,95,55,23,68,65,77,70,70,77,79,78,41,67,86,75,81,87,79,85,75,81,86,86,76,19,75,74,71,70,77,69,67,56,64,64,67,41,84,66,69,54,68,67,63,84,80,62,72,59,88,71,87,73,79,54,78,63,70,76,60,73,79,60,57,71,68,69,73,65,73,0,30,56,66,81,68,74,61,53,52,53,45,68,44,56,73,65,69,70,42,66,66,56,79,76,63,67,73,76,72,59,83,47,73,89,62,82,67,60,63,68,64,80,58,63,60,83,51,52,65,63,52,70,63,58,64,68,77,51,71,53,77,69,61,76,70,76,75,66,34,58,79,78,19,39,36,34,68,77,80,74,81,72,76,69,86,73,23,70,72,83,64,57,83,34,80,42,73,80,77,69,35,72,84,73,44,19,5,81,72,81,80,59,79,73,72,75,62,70
2005-06-01,65,63,68,63,24,77,77,83,73,80,72,81,75,55,72,90,80,87,96,91,90,87,85,94,88,81,16,69,81,75,80,81,71,71,59,64,75,72,45,85,81,77,63,76,73,73,100,96,72,80,76,90,68,98,82,85,62,90,71,83,81,65,74,93,62,59,69,77,75,81,68,71,0,31,52,75,91,75,73,75,67,70,59,48,73,45,56,80,69,82,74,48,74,79,70,85,85,76,71,73,84,82,63,89,53,90,85,63,93,71,60,58,81,70,85,56,63,61,93,51,53,66,68,31,79,66,52,68,70,82,54,78,57,78,78,72,80,79,78,84,75,37,62,95,97,18,40,39,32,75,81,87,80,89,76,75,77,85,76,24,79,70,77,65,61,89,34,71,42,73,94,79,77,37,81,81,79,45,20,8,85,74,83,79,66,83,74,72,79,68,68
2005-07-01,67,66,58,60,23,72,77,100,79,87,77,88,80,57,66,91,83,89,93,91,90,88,89,99,86,87,21,62,86,76,76,82,79,78,60,73,67,69,66,79,73,75,62,75,70,80,87,93,61,84,65,92,67,93,77,80,60,82,74,74,85,67,69,91,67,58,73,72,75,74,69,76,85,30,52,79,94,79,80,84,68,70,60,47,68,45,65,81,70,76,69,44,74,71,60,86,87,64,74,77,82,75,63,81,49,80,87,58,89,72,64,59,80,67,90,52,72,69,90,51,57,70,75,45,74,62,51,67,74,86,57,86,61,80,72,78,79,76,82,85,69,72,75,92,94,20,40,47,43,85,80,86,75,95,87,76,96,89,77,24,77,71,67,71,63,100,38,65,47,73,82,84,80,34,100,75,76,37,23,7,91,83,97,91,87,94,91,88,100,82,81
2005-08-01,68,67,61,62,25,71,66,84,76,92,73,88,80,58,69,81,83,91,92,92,88,85,89,98,88,84,37,64,82,66,73,79,71,72,62,73,63,71,67,81,66,70,60,69,77,77,85,96,74,82,62,90,69,90,83,84,55,84,77,70,84,66,71,97,66,59,76,69,72,73,70,80,100,28,52,79,94,76,86,83,67,68,65,50,65,47,72,76,71,74,69,41,71,66,61,82,79,63,75,73,79,68,61,79,51,74,90,58,83,67,63,60,76,78,86,53,78,74,90,54,59,76,73,67,59,63,43,68,80,83,62,88,62,78,64,71,71,76,78,80,71,54,65,83,95,26,44,43,34,92,84,91,77,93,84,91,83,91,78,26,85,81,75,77,65,87,36,66,51,77,84,78,77,41,76,69,75,44,26,6,91,88,88,98,75,96,96,84,95,82,67
2005-09-01,65,63,53,49,26,68,67,71,65,69,67,78,75,100,70,73,78,79,88,80,82,77,79,88,81,82,100,65,72,66,77,75,79,71,54,70,62,64,40,81,65,68,70,67,76,70,87,88,79,94,68,86,69,92,74,78,57,78,71,73,79,64,74,86,61,55,74,63,68,70,66,71,0,29,54,75,88,68,80,88,61,69,60,42,63,47,66,79,67,70,62,38,67,67,62,83,75,71,65,69,75,64,61,78,49,76,79,54,76,66,64,54,62,68,79,45,69,69,90,43,57,67,69,50,54,57,37,59,78,82,57,80,59,74,74,71,76,69,69,75,68,51,60,85,88,58,43,31,29,81,78,82,66,78,79,73,62,86,81,24,76,75,68,66,67,75,35,64,42,60,80,88,65,35,65,59,75,43,24,5,76,84,69,90,51,80,80,68,73,58,58
2005-10-01,65,57,51,54,23,72,62,50,54,55,59,74,72,55,60,62,67,73,73,79,80,73,76,84,84,71,19,56,70,64,66,72,73,70,54,64,55,63,43,80,66,62,56,64,72,66,73,84,84,80,66,86,73,81,69,72,55,78,64,70,71,61,74,79,65,56,70,67,66,70,67,68,0,26,47,67,85,59,76,68,61,63,66,46,67,45,64,72,66,74,63,40,65,67,59,76,75,65,65,69,62,59,59,75,47,73,80,57,68,60,68,52,43,72,79,41,74,76,82,49,65,73,75,55,47,52,32,60,78,74,57,78,56,78,67,65,68,67,73,78,65,35,66,82,76,17,48,19,29,74,74,81,78,77,79,65,51,87,80,22,73,77,65,61,69,59,38,57,55,67,80,84,59,50,55,49,67,41,31,7,66,73,61,86,44,69,66,61,69,50,48
2005-11-01,65,62,48,100,24,70,65,43,48,47,54,73,69,46,54,52,62,70,62,78,78,82,73,100,95,68,32,70,69,65,70,74,75,73,55,70,60,65,43,78,63,67,61,73,73,72,77,91,87,79,70,91,79,84,80,72,56,82,74,70,74,65,79,81,69,58,78,72,74,73,69,78,0,28,61,78,87,63,73,62,89,68,91,44,72,51,78,81,68,77,61,43,62,74,62,83,78,73,67,77,77,64,60,72,49,73,81,55,72,67,73,57,45,71,73,35,80,74,87,51,72,83,80,53,46,54,29,61,79,78,53,85,57,78,70,64,74,76,73,79,67,40,63,81,83,18,44,23,33,68,76,78,78,88,76,66,44,89,84,23,82,80,76,76,77,57,60,64,83,65,87,95,58,38,47,45,65,44,45,6,65,77,60,78,47,62,76,55,59,46,40
2005-12-01,64,61,53,93,24,61,54,36,43,42,54,69,66,40,54,48,52,66,58,69,77,65,66,78,77,63,19,83,76,61,69,82,79,64,52,78,55,65,36,71,57,53,55,64,67,83,67,75,71,69,58,94,80,72,64,67,46,76,65,56,65,52,69,82,70,64,88,69,66,72,72,75,0,30,59,78,76,59,72,53,60,70,100,53,78,61,78,87,73,66,60,40,55,58,52,71,71,65,65,73,73,53,58,79,51,60,89,51,70,63,68,95,39,65,72,27,85,71,75,39,66,85,71,43,45,57,25,67,82,93,58,87,56,76,60,52,67,64,69,77,57,43,60,77,75,14,43,28,34,60,71,68,72,83,59,61,48,93,82,20,84,89,81,80,78,47,52,67,85,58,67,87,55,40,42,42,60,44,61,8,58,85,59,80,41,60,87,62,63,45,40
2006-01-01,67,74,63,64,27,72,70,41,51,57,63,81,80,44,67,61,78,73,55,86,86,76,82,85,76,76,26,78,77,69,85,79,81,88,62,65,72,87,45,85,61,76,70,78,78,66,78,89,94,88,69,87,70,91,71,77,55,85,83,78,78,68,80,79,71,64,79,72,73,75,71,86,0,35,85,81,88,71,78,68,70,86,66,44,63,48,89,84,70,75,64,45,70,72,60,81,86,72,74,79,78,83,63,80,57,72,92,62,81,73,72,57,50,87,85,32,84,86,92,60,70,84,77,59,42,62,30,61,89,85,55,89,61,79,73,75,79,78,86,83,77,40,63,84,83,16,46,27,34,87,91,81,79,97,88,84,72,91,85,24,81,79,68,72,74,54,27,59,52,63,84,92,62,39,53,49,65,41,75,9,72,72,63,60,58,78,75,79,81,63,50
2006-02-01,68,69,48,58,28,77,69,47,51,57,61,82,75,45,63,71,65,67,65,95,86,71,79,81,74,82,30,73,77,73,85,82,85,80,65,64,65,72,41,86,61,68,71,72,75,71,76,88,86,83,67,83,67,88,71,78,54,74,75,77,79,71,77,83,62,65,70,69,70,73,68,85,0,38,82,79,86,67,78,65,65,83,68,42,71,47,74,79,72,82,67,50,68,70,63,82,82,67,69,82,78,78,63,84,59,75,84,62,82,69,69,73,48,77,82,34,74,78,92,52,63,73,70,67,41,58,34,66,87,78,58,81,53,79,74,73,74,75,79,82,73,43,53,85,83,16,48,27,43,80,83,80,85,93,85,76,60,96,90,24,78,78,70,61,75,58,27,58,49,62,77,83,58,37,49,49,68,45,60,31,69,73,66,64,49,68,75,69,71,52,49
2006-03-01,68,75,49,64,27,77,66,61,48,60,68,76,76,46,65,76,71,69,63,93,86,68,94,92,88,84,22,63,70,70,86,77,83,82,70,61,68,69,40,86,62,69,67,71,79,61,80,88,76,79,66,88,70,91,73,78,59,83,75,75,82,63,80,88,63,52,70,79,69,69,66,76,0,27,71,84,88,70,78,66,64,79,74,44,68,47,75,81,73,80,68,47,65,73,68,80,88,69,69,85,76,85,64,83,57,70,77,63,85,71,65,57,52,80,81,41,76,77,93,52,58,73,69,49,45,53,42,62,89,90,57,81,56,75,76,70,79,76,78,84,73,38,58,88,85,19,53,32,34,83,82,78,77,89,82,82,60,88,88,24,76,76,60,67,78,67,30,58,55,66,84,88,58,38,56,81,63,46,38,8,77,83,67,69,52,69,78,68,70,57,49
