"date","Celebrities & Entertainment News","Entertainment Industry","Live Sporting Events","Ticket Sales","Web Portals","CAD & CAM","Automotive Industry","Bicycles & Accessories","Boats & Watercraft","Campers & RVs","Classic Vehicles","Commercial Vehicles","Custom & Performance Vehicles","Hybrid & Alternative Vehicles","Microcars & City Cars","Motorcycles","Off-Road Vehicles","Personal Aircraft","Scooters & Mopeds","Trucks & SUVs","Vehicle Brands","Vehicle Codes & Driving Laws","Vehicle Licensing & Registration","Vehicle Maintenance","Vehicle Parts & Accessories","Vehicle Shopping","Vehicle Shows","Beauty Pageants","Body Art","Cosmetic Procedures","Cosmetology & Beauty Professionals","Face & Body Care","Fashion & Style","Fitness","Hair Care","Spas & Beauty Services","Weight Loss","Advertising & Marketing","Aerospace & Defense","Agriculture & Forestry","Business Education","Business Finance","Business News","Business Operations","Business Services","Photo & Video Services","Chemicals Industry","Construction & Maintenance","HVAC & Climate Control","Energy & Utilities","Enterprise Technology","Hospitality Industry","Grocery & Food Retailers","Industrial Materials & Equipment","Manufacturing","Metals & Mining","Pharmaceuticals & Biotech","Printing & Publishing","Journalism & News Industry","Professional & Trade Associations","Retail Trade","Small Business","Textiles & Nonwovens","Transportation & Logistics","Computer Hardware","Computer Security","Consumer Electronics","Electronics & Electrical","Networking","Programming","Software","Web Apps & Online Tools","Technical Support","Technology News","Accounting & Auditing","Banking","Credit & Lending","Currencies & Foreign Exchange","Financial Planning","Grants & Financial Assistance","Insurance","Investing","Retirement & Pension","Alcoholic Beverages","Candy & Sweets","Cooking & Recipes","Culinary Training","Non-Alcoholic Beverages","Restaurants","Aging & Geriatrics","Alternative & Natural Medicine","Health Conditions","Health Education & Medical Training","Health Foundations & Medical Research","Health News","Medical Devices & Equipment","Medical Facilities & Services","Medical Literature & Resources","Men's Health","Mental Health","Nursing","Nutrition","Oral & Dental Care","Pediatrics","Pharmacy","Public Health","Reproductive Health","Substance Abuse","Vision Care","Women's Health","Antiques & Collectibles","Gifts & Special Event Items","Water Sports","Bed & Bath","Domestic Services","Gardening & Landscaping","Home Appliances","Home Furnishings","Home Improvement","Home Storage & Shelving","Homemaking & Interior Decor","Kitchen & Dining","Laundry","Nursery & Playroom","Pest Control","Swimming Pools & Spas","Yard & Patio","Communications Equipment","Email & Messaging","Mobile & Wireless","Search Engines","Service Providers","Teleconferencing","Web Services","Education","Jobs","Government","Legal","Military","Public Safety","Social Services","Broadcast & Network News","Gossip & Tabloid News","Local News","Newspapers","Politics","Sports News","Weather","World News","Apartments & Residential Rentals","Commercial & Investment Real Estate","Property Development","Property Inspections & Appraisals","Property Management","Real Estate Agencies","Real Estate Listings","Timeshares & Vacation Properties","Apparel","Auctions","Classifieds","Consumer Resources","Entertainment Media","Luxury Goods","Mass Merchants & Department Stores","Shopping Portals & Search Engines","Sporting Goods","Swap Meets & Outdoor Markets","Tobacco Products","Toys","Wholesalers & Liquidators","College Sports","Combat Sports","Extreme Sports","Fantasy Sports","Individual Sports","Motor Sports","Sports Coaching & Training","Team Sports","Winter Sports","World Sports Competitions","Air Travel","Bus & Rail","Car Rental & Taxi Services","Carpooling & Ridesharing","Cruises & Charters","Hotels & Accommodations","Luggage & Travel Accessories","Specialty Travel","Tourist Destinations","Travel Agencies & Services","Travel Guides & Travelogues"
2004-11-01,73,60,36,68,53,75,63,55,46,51,80,79,70,54,79,63,82,81,65,79,74,86,68,62,84,78,45,26,59,81,79,59,88,72,50,78,64,85,51,70,81,83,28,85,86,84,86,76,64,82,83,62,35,88,80,87,77,85,72,78,78,77,87,85,79,74,85,81,78,75,81,78,0,24,36,65,77,86,80,61,81,68,77,74,66,70,83,66,53,97,83,47,81,100,65,66,91,83,88,91,94,64,70,82,88,82,82,86,88,80,88,82,23,83,65,37,92,90,83,71,80,90,82,80,48,29,39,83,76,83,77,83,80,76,92,75,90,96,84,88,51,100,53,54,91,34,56,30,100,63,68,78,79,79,70,74,67,84,85,69,92,80,38,62,61,70,61,92,66,81,71,47,37,29,46,63,88,53,57,3,74,79,63,72,60,71,68,71,65,68,66
2004-12-01,74,58,34,83,55,71,55,54,46,50,79,75,75,48,79,67,86,81,74,83,81,78,69,71,91,77,36,29,57,85,92,66,93,76,54,98,60,78,49,65,86,79,29,73,86,86,79,74,70,78,88,62,34,82,76,84,71,85,73,67,78,70,81,92,89,76,98,80,77,72,83,77,0,23,37,73,80,90,88,59,82,73,85,96,88,74,82,74,58,88,89,45,75,76,56,67,81,85,86,92,89,61,67,81,89,78,99,81,83,81,94,100,22,93,73,34,100,85,81,75,80,100,74,77,41,27,38,100,84,96,87,91,82,80,82,70,67,87,87,95,48,63,48,48,78,8,62,37,100,65,69,69,77,71,68,70,70,98,85,59,100,94,51,76,75,83,60,84,84,88,59,49,37,25,46,66,100,53,77,3,80,77,66,69,62,69,85,80,70,69,62
2005-01-01,74,76,31,71,56,79,62,52,56,66,85,78,72,51,87,63,100,96,55,91,77,79,75,67,85,81,84,25,62,92,90,58,92,97,57,91,95,86,54,68,89,80,28,88,89,80,80,84,72,80,89,70,34,88,85,87,80,85,70,87,76,85,94,92,87,72,81,81,78,73,82,68,0,26,74,69,88,85,88,87,89,70,88,76,59,59,91,64,59,85,93,44,91,73,63,66,93,94,88,82,100,79,74,85,87,81,85,82,90,93,85,66,24,96,79,37,87,91,88,98,94,77,69,97,41,29,38,96,81,87,84,83,83,84,91,87,73,90,85,91,49,63,58,82,83,8,58,51,65,82,84,79,84,81,83,86,90,82,88,65,89,81,37,46,80,66,51,81,41,72,55,52,41,18,51,69,86,55,81,3,98,79,63,71,91,91,70,88,73,90,65
2005-02-01,69,100,30,76,57,85,69,54,62,67,86,80,71,53,85,70,87,92,49,92,80,81,73,68,84,78,65,26,65,88,87,56,93,83,58,100,81,89,54,71,80,83,30,90,91,80,83,81,64,82,87,67,36,86,91,91,82,87,64,88,75,85,91,87,83,65,72,86,77,77,82,81,0,24,90,72,91,90,90,95,87,74,91,90,67,58,97,66,63,91,96,48,83,85,61,72,95,100,89,89,99,81,71,91,95,88,84,88,92,93,95,92,26,86,75,47,81,84,87,65,88,72,68,83,49,35,41,90,84,81,85,86,83,86,91,85,80,90,85,96,50,57,50,68,84,8,60,40,65,79,83,79,87,75,74,92,86,80,85,63,85,75,36,45,61,68,60,81,42,65,58,60,36,22,49,92,83,54,62,3,87,70,70,74,81,92,68,91,82,89,76
2005-03-01,59,60,29,77,56,73,70,59,62,73,83,87,72,60,76,76,85,92,55,92,83,78,77,72,82,82,54,28,64,89,79,56,84,78,57,89,81,87,49,77,76,82,28,83,85,75,83,82,59,92,82,65,31,84,84,87,77,85,67,80,72,78,91,86,74,61,70,78,75,73,76,74,100,22,68,69,87,85,81,87,86,74,89,88,60,56,87,63,62,89,94,46,83,84,57,65,88,98,76,86,98,73,70,87,84,88,78,84,92,91,83,66,23,79,75,56,75,77,84,67,73,68,65,74,54,35,53,88,80,77,80,79,75,80,88,82,73,91,84,98,48,56,46,60,78,7,60,38,61,82,100,74,89,77,82,97,80,76,89,60,79,71,34,46,57,67,65,80,41,68,74,60,36,27,55,82,85,56,50,3,86,74,71,74,73,89,63,88,82,81,70
2005-04-01,66,53,32,87,55,70,68,73,72,71,85,84,69,67,82,90,71,85,68,86,79,85,72,73,88,82,51,34,66,100,90,54,80,73,65,93,81,81,52,84,82,80,29,86,84,74,83,83,64,88,82,62,33,83,79,80,83,81,74,82,68,79,82,87,67,55,65,75,70,71,71,68,0,23,76,70,88,84,74,82,82,64,83,80,58,51,81,64,62,91,96,47,82,79,62,63,94,92,94,88,90,79,67,88,86,87,81,95,82,95,82,73,26,77,83,81,72,76,85,66,70,66,65,78,65,43,75,77,80,75,85,75,70,71,88,80,74,90,83,98,50,58,47,52,79,7,56,36,68,86,77,75,89,78,83,87,76,77,87,66,80,69,34,47,58,73,80,79,38,67,44,61,37,20,63,91,84,56,24,3,81,74,68,74,74,84,68,85,77,73,68
2005-05-01,73,55,33,95,55,76,73,77,78,78,84,79,71,57,81,82,67,91,62,85,80,84,90,73,85,79,47,36,65,93,95,56,83,72,61,92,79,76,49,80,74,74,27,78,78,73,80,85,67,87,82,64,33,85,79,81,73,78,64,73,70,76,78,89,67,56,69,76,70,70,73,72,0,28,34,72,85,82,68,74,82,61,75,72,59,49,83,65,62,77,97,44,82,79,54,62,89,91,80,80,90,73,68,77,87,75,79,88,86,86,76,83,26,80,81,83,75,77,84,66,69,66,64,79,70,59,76,83,79,79,87,74,71,74,83,78,67,82,91,94,44,54,48,59,77,8,48,37,67,88,70,76,90,77,82,100,77,75,83,64,77,70,34,46,57,77,78,71,39,72,37,55,39,17,61,100,71,50,19,3,87,78,76,80,70,86,67,89,84,77,69
2005-06-01,74,53,32,92,55,69,61,73,89,88,73,81,61,50,76,80,63,92,64,92,82,79,85,75,89,83,46,32,61,94,85,56,79,71,57,87,76,77,46,70,72,81,27,77,82,73,76,88,96,83,84,67,32,89,76,73,74,76,60,73,68,74,79,92,68,53,71,75,69,75,70,61,0,28,33,78,100,87,74,100,89,63,73,75,54,50,87,64,61,74,91,41,88,72,46,65,92,85,76,69,90,70,69,92,81,74,78,66,81,89,73,68,29,79,79,64,75,73,90,66,70,66,61,78,84,78,69,78,77,89,80,77,83,76,74,80,65,78,87,91,42,61,48,56,78,6,50,39,61,89,78,73,89,81,81,99,87,70,93,65,80,69,34,50,54,80,75,68,37,71,32,59,37,19,72,96,73,49,18,3,91,86,86,100,82,90,70,90,89,77,69
2005-07-01,69,64,34,95,57,63,59,90,94,90,82,83,67,52,78,84,63,87,67,94,87,76,90,78,88,87,41,26,76,96,92,56,83,73,59,83,81,73,66,70,68,74,26,77,80,85,74,83,90,85,81,64,35,83,72,76,75,78,63,72,75,77,82,96,71,52,70,74,69,68,70,70,0,23,32,82,93,87,75,77,92,59,71,81,57,54,83,65,62,70,90,43,87,68,43,65,89,82,88,71,94,68,71,88,79,71,81,73,88,98,83,61,31,98,81,56,80,80,93,76,74,74,66,89,75,68,58,83,81,87,79,80,80,81,73,77,61,78,85,91,44,71,54,58,81,7,58,43,81,98,80,76,85,90,93,100,90,75,91,70,85,73,35,53,60,93,87,78,42,77,33,56,41,27,89,95,66,48,22,4,86,88,91,89,88,84,76,96,99,75,66
2005-08-01,65,60,41,87,60,70,68,80,86,85,80,83,67,71,75,81,73,89,73,95,89,84,100,81,90,100,45,34,81,99,93,55,84,74,61,86,80,77,59,73,79,78,26,80,87,92,75,91,83,96,89,68,37,90,79,79,77,83,68,77,68,81,89,99,76,61,72,76,76,69,77,73,0,23,38,88,99,84,81,82,93,70,77,82,57,52,96,68,63,75,99,41,91,74,49,69,95,95,81,67,100,72,77,83,88,77,83,80,93,100,83,65,26,95,82,51,81,86,92,80,82,76,72,87,71,50,53,85,89,95,81,92,89,82,92,82,62,80,96,99,47,78,49,59,89,6,63,39,61,99,84,72,93,90,90,97,83,80,96,73,90,77,36,55,84,86,80,82,43,80,43,55,43,76,70,87,81,56,25,2,88,92,83,93,80,92,92,94,89,74,68
2005-09-01,62,59,46,79,55,66,53,72,57,69,73,79,67,72,68,79,73,81,77,76,79,75,75,67,79,90,46,25,72,76,83,51,82,68,52,77,68,79,45,72,80,75,27,81,83,83,79,74,67,96,82,63,33,83,72,79,71,79,72,78,63,76,80,88,68,47,68,73,70,64,70,71,0,24,34,78,83,79,71,59,83,66,67,75,52,49,87,62,58,77,90,41,85,78,52,67,90,99,77,75,94,67,67,72,83,78,74,73,84,94,73,62,22,79,72,44,74,75,86,66,69,64,65,77,61,34,45,83,83,82,88,81,76,76,92,78,69,85,84,98,49,80,45,58,86,8,66,43,65,77,68,62,83,80,77,84,63,79,88,64,80,68,33,48,64,73,65,75,37,67,62,49,36,56,60,76,80,61,28,2,77,81,65,85,65,75,70,82,68,61,54
2005-10-01,59,51,43,88,54,65,68,60,50,59,68,78,70,56,63,65,79,81,53,75,73,77,76,65,77,75,43,24,65,76,81,54,79,65,55,75,70,79,45,79,71,73,27,81,80,85,84,84,75,90,79,61,34,85,73,86,70,79,65,76,65,72,83,81,65,48,70,75,66,69,68,62,44,22,31,78,81,73,74,54,86,65,67,75,63,56,82,65,60,81,90,43,85,74,54,65,86,93,74,83,94,69,68,79,84,78,76,81,84,91,72,69,23,80,73,42,76,79,87,73,72,72,63,77,52,29,40,79,84,78,89,79,70,77,90,75,69,81,82,87,46,61,56,51,84,7,68,42,61,67,74,63,79,73,73,81,60,98,90,63,78,70,37,51,54,70,61,76,45,65,63,55,35,37,49,69,82,67,39,2,75,77,59,78,59,76,57,78,68,63,56
2005-11-01,62,50,39,67,53,58,72,49,43,48,66,72,64,53,69,57,85,78,50,73,70,72,69,64,79,72,35,24,59,77,84,56,82,67,51,78,68,77,42,69,69,73,26,77,74,88,76,73,66,83,77,61,37,81,72,80,64,76,61,74,66,67,81,80,67,48,89,71,67,62,64,70,0,20,30,75,74,72,78,52,83,62,68,77,66,66,87,70,61,84,89,43,77,71,55,62,85,86,73,85,87,65,66,76,81,74,76,84,79,81,76,74,19,82,69,34,80,78,83,70,75,82,61,76,44,26,37,76,80,79,84,74,65,73,83,68,69,80,84,90,46,57,54,53,72,9,61,35,57,76,67,62,74,61,66,71,57,85,91,55,78,75,37,70,59,67,57,78,64,84,77,66,33,30,48,61,79,61,54,3,71,75,58,71,55,65,61,72,63,61,60
2005-12-01,66,57,38,85,55,59,62,50,44,44,67,78,66,45,72,57,98,79,51,84,72,71,66,62,83,71,37,27,62,82,89,65,86,71,55,100,62,72,39,60,68,68,26,73,75,100,66,72,70,77,75,62,38,79,67,77,59,75,59,63,69,65,73,98,73,53,100,80,62,63,69,75,0,20,35,81,78,78,84,55,82,69,78,100,93,73,89,77,64,73,84,41,79,64,46,59,81,79,71,77,84,58,64,78,82,67,81,75,77,80,86,94,19,87,69,30,93,81,85,77,79,89,72,74,37,25,34,90,83,91,85,79,70,74,79,64,61,77,75,89,44,59,56,75,78,7,67,49,62,74,65,56,66,68,62,70,63,100,98,56,94,100,45,86,74,79,58,81,87,90,63,60,34,26,43,57,77,57,84,3,77,79,61,75,54,65,82,73,65,62,61
2006-01-01,70,73,33,68,58,61,75,49,51,65,72,79,75,47,65,58,83,92,42,79,76,76,77,65,76,75,87,34,75,78,90,55,81,88,55,86,100,81,44,61,74,73,31,81,84,85,74,78,63,86,78,65,35,80,75,90,70,75,56,72,69,78,89,93,68,49,75,70,64,61,71,65,54,22,69,83,88,80,94,87,95,78,89,76,59,57,99,68,64,73,89,42,88,70,49,62,89,92,74,75,92,84,73,78,84,74,77,80,87,90,74,61,22,86,68,35,79,85,84,81,100,76,71,88,39,27,35,82,77,86,89,82,69,75,86,77,67,81,81,89,47,57,57,54,80,7,66,34,52,85,67,76,79,70,80,90,84,74,100,64,82,79,34,50,80,64,58,73,41,68,59,59,39,17,50,65,82,63,77,6,78,66,59,75,81,77,64,81,77,82,65
2006-02-01,62,70,29,68,53,63,63,51,53,64,68,88,71,49,65,59,80,80,39,79,73,71,70,61,75,72,63,26,80,82,87,54,81,77,54,84,80,77,42,65,69,78,30,84,80,80,82,74,61,85,82,63,34,80,76,82,73,73,51,71,67,74,78,82,65,43,65,72,65,66,65,65,0,19,82,79,90,74,93,90,80,74,83,73,67,53,94,69,65,75,85,41,76,79,51,61,93,95,74,78,89,74,72,75,82,76,78,80,86,85,72,79,23,78,68,37,71,78,81,68,80,67,62,77,42,27,37,76,78,81,86,73,67,74,81,73,72,80,76,86,45,62,48,68,78,8,60,40,64,81,72,74,92,68,80,93,78,76,95,65,78,71,34,47,54,63,58,71,38,66,57,62,36,18,47,87,70,54,100,44,76,63,63,76,71,76,60,79,73,76,64
2006-03-01,64,75,28,80,53,64,64,56,58,72,65,91,69,45,65,67,75,80,44,81,75,81,73,65,78,76,49,23,70,82,88,55,78,78,57,90,81,70,44,73,71,72,30,81,79,81,75,77,57,83,77,64,32,78,77,82,72,73,57,71,69,74,77,84,62,42,61,70,63,64,64,63,0,19,64,82,86,77,88,84,82,71,87,72,59,52,95,71,61,69,89,42,79,75,55,61,90,91,70,84,90,72,68,75,84,78,77,78,91,88,69,58,23,76,71,52,67,74,80,68,70,62,64,75,48,36,51,74,78,78,83,71,65,71,83,74,67,79,81,92,44,55,45,55,78,7,75,43,59,84,74,76,87,77,79,92,78,72,92,66,74,69,32,49,52,68,62,78,38,65,72,59,33,26,50,83,69,63,48,5,76,69,65,74,74,76,63,78,75,74,70
